                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
|           ru1705|     上期所| 20170216|    卖|  投机|    21325.000|      1|   开仓|          10.19|            73283|
|           ru1705|     上期所| 20170216|  买  |  投机|    21440.000|      1|   平今|          50.77|           106254|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      3|   平仓|          10.71|           124857|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      1|   平仓|           3.57|           124858|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      1|   平仓|           3.57|           124859|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      1|   平仓|           3.57|           124860|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      2|   平仓|           7.14|           124861|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      4|   平仓|          14.28|           124862|
|           rb1705|     上期所| 20170216|    卖|  投机|     3383.000|      2|   平仓|           7.14|           124863|
|           rb1705|     上期所| 20170216|  买  |  投机|     3474.000|      2|   平仓|           7.33|          1205986|
|           rb1705|     上期所| 20170216|  买  |  投机|     3474.000|      3|   开仓|          11.00|          1206009|
|           rb1705|     上期所| 20170216|  买  |  投机|     3474.000|     12|   开仓|          44.00|          1206012|
|           rb1705|     上期所| 20170216|  买  |  投机|     3474.000|      7|   开仓|          25.67|          1206026|
|           rb1705|     上期所| 20170216|    卖|  投机|     3492.000|      2|   平今|          36.70|          1268200|
|           rb1705|     上期所| 20170216|    卖|  投机|     3492.000|      1|   平今|          18.35|          1268216|
|           rb1705|     上期所| 20170216|  买  |  投机|     3504.000|      2|   开仓|           7.40|          1340424|
|           rb1705|     上期所| 20170216|  买  |  投机|     3504.000|      3|   开仓|          11.10|          1340425|
|           ru1705|     上期所| 20170216|  买  |  投机|    20905.000|      1|   平今|          49.50|          1765034|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   平仓|           3.21|          1937639|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   平仓|           3.21|          1938542|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   开仓|           3.21|          1938552|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   开仓|           3.21|          1938553|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   开仓|           3.21|          1938554|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   开仓|           3.21|          1938555|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      2|   开仓|           6.43|          1938556|
|           zn1704|     上期所| 20170216|    卖|  投机|    23210.000|      1|   开仓|           3.21|          1938557|
|           zn1704|     上期所| 20170216|  买  |  投机|    23325.000|      1|   平今|           0.06|          1983936|
-----------------------------------------------------------------------------------------------------------------------
|    共：  65条   |           |         |      |      |             |    161|       |        1171.01|                 |


--------------------------------------------------------平仓明细-------------------------------------------------------

|     合约代码    | 成交日期| 买/卖|       开仓价|       平仓价|  手数 |  开平 |   平仓盈亏  | 投/保|     成交编号    |
-----------------------------------------------------------------------------------------------------------------------
|            CF705| 20170216|    卖|     15645.00|    15605.000|      1|   平今|     -1325.00|  投机| 2017021600017013|
|            TA705| 20170216|    卖|      5692.00|     5686.000|      5|   平今|     -2200.00|  投机| 2017021600021508|
|            CF705| 20170216|    卖|     16005.00|    15745.000|      1|   平今|      -625.00|  投机| 2017021600189830|
|            TA705| 20170216|    卖|      5692.00|     5700.000|      5|   平今|     -1850.00|  投机| 2017021600190132|
|            FG705| 20170216|    卖|      1332.00|     1376.000|      1|   平今|        80.00|  投机| 2017021601083470|
|            TA705| 20170216|    卖|      5688.00|     5654.000|      1|   平今|      -600.00|  投机| 2017021602068922|
|            MA705| 20170216|    卖|      2905.00|     3031.000|      3|   平今|     -1860.00|  投机| 2017021602070803|
|            MA705| 20170216|    卖|      2905.00|     3030.000|      1|   平今|      -630.00|  投机| 2017021602070806|
|            MA705| 20170216|    卖|      2941.00|     3030.000|      4|   平今|     -2520.00|  投机| 2017021602070807|
|            MA705| 20170216|  买  |      3030.00|     3045.000|      1|   平今|      -150.00|  投机| 2017021602116938|
|            y1705| 20170216|  买  |      6850.00|     6836.000|      2|   平今|       120.00|  投机|         10032238|
|            y1705| 20170216|  买  |      6898.00|     6836.000|      1|   平今|        60.00|  投机|         10032238|
|            y1705| 20170216|  买  |      6898.00|     6836.000|      1|   平今|        60.00|  投机|         10032238|
|            y1705| 20170216|  买  |      6894.00|     6836.000|      3|   平今|       180.00|  投机|         10032238|
